"category","pct_revenue_champion","pct_revenue_big_spender","difference_pct","abs_difference_pct"
computers,0,3.86,-3.86,3.86
housewares,6.69,3.25,3.44,3.44
cool_stuff,3.77,6.84,-3.07,3.07
health_beauty,11.69,9.24,2.45,2.45
construction_tools_construction,2.24,0,2.24,2.24
computers_accessories,6.19,8.23,-2.04,2.04
consoles_games,0,1.85,-1.85,1.85
toys,2.47,3.88,-1.41,1.41
baby,4.10,2.73,1.37,1.37
garden_tools,3.35,4.50,-1.15,1.15
home_construction,1.02,0,1.02,1.02
bed_bath_table,7.23,6.24,0.99,0.99
small_appliances,1.50,2.44,-0.94,0.94
telephony,2.82,1.88,0.94,0.94
home_appliances,0.93,0,0.93,0.93
UNKNOWN,0.75,1.67,-0.92,0.92
furniture_decor,6.00,5.13,0.87,0.87
pet_shop,1.97,1.10,0.87,0.87
watches_gifts,11.89,11.10,0.79,0.79
construction_tools_lights,0.75,0,0.75,0.75
home_confort,0,0.70,-0.70,0.70
sports_leisure,6.97,7.66,-0.69,0.69
furniture_living_room,0.63,0,0.63,0.63
auto,5.47,4.93,0.54,0.54
luggage_accessories,0.83,1.35,-0.52,0.52
perfumery,2.70,3.20,-0.50,0.50
office_furniture,2.84,3.31,-0.47,0.47
stationery,1.38,1.00,0.38,0.38
musical_instruments,1.92,2.18,-0.26,0.26
electronics,1.11,0.94,0.17,0.17
fashion_bags_accessories,0.78,0.77,0.01,0.01
