"category","revenue","avg_review_score","orders_in_category"
health_beauty,1441250,4.14,8836
watches_gifts,1305540,4.02,5624
bed_bath_table,1241680,3.90,9417
sports_leisure,1156650,4.11,7720
computers_accessories,1059270,3.93,6689
furniture_decor,902508,3.90,6449
housewares,778396,4.05,5884
cool_stuff,719328,4.15,3632
auto,685382,4.06,3897
garden_tools,584217,4.05,3518
toys,561375,4.16,3886
baby,480118,4.01,2885
perfumery,453339,4.17,3162
telephony,394885,3.95,4199
office_furniture,342533,3.49,1273
stationery,277741,4.20,2311
pet_shop,253876,4.18,1710
computers,232799,4.18,181
musical_instruments,210137,4.15,628
UNKNOWN,207705,3.84,1451
electronics,206825,4.04,2550
small_appliances,206669,4.15,630
fashion_bags_accessories,184274,4.14,1864
consoles_games,177293,4.02,1062
luggage_accessories,170875,4.32,1034
construction_tools_construction,165328,4.05,748
home_appliances_2,123918,4.14,234
home_construction,96920,3.94,490
home_appliances,94990,4.17,764
furniture_living_room,86885,3.90,422
agro_industry_and_commerce,78374,4.00,182
home_confort,67073,3.83,397
fixed_telephony,64221,3.68,217
air_conditioning,61774,3.97,253
kitchen_dining_laundry_garden_furniture,58328,3.96,248
audio,56399,3.83,350
books_general_interest,56052,4.45,512
small_appliances_home_oven_and_coffee,50194,4.30,75
construction_tools_lights,48664,4.05,244
industry_commerce_and_business,47554,4.10,235
construction_tools_safety,44464,3.84,167
food,36664,4.22,450
market_place,33835,4.02,280
costruction_tools_garden,31027,4.05,194
fashion_shoes,28482,4.23,240
art,28248,3.94,202
drinks,28170,4.04,297
signaling_and_security,28017,4.09,140
furniture_bedroom,24661,4.12,95
books_technical,23379,4.36,260
food_drink,19688,4.31,227
costruction_tools_tools,17934,4.44,97
fashion_male_clothing,12950,3.64,112
christmas_supplies,12030,4.02,128
fashion_underwear_beach,11458,3.98,121
tablets_printing_image,8755,4.12,79
cine_photo,8190,4.19,65
dvds_blu_ray,7288,4.08,59
music,6725,4.21,38
furniture_mattress_and_upholstery,5999,3.82,38
books_imported,5410,4.40,53
party_supplies,5313,3.77,39
portateis_cozinha_e_preparadores_de_alimentos,4278,3.27,14
fashio_female_clothing,3425,3.75,39
fashion_sport,2698,4.23,27
la_cuisine,2389,4.00,13
arts_and_craftmanship,2184,4.13,23
diapers_and_hygiene,2141,3.26,27
pc_gamer,1680,3.33,8
flowers,1599,4.42,29
home_comfort_2,1171,3.63,24
cds_dvds_musicals,955,4.64,12
fashion_childrens_clothes,665,4.50,8
security_and_services,325,2.50,2
